date,open,high,low,close,volume
2024-04-16,389.25,397.4,385.35,391.35,1098457
2024-04-18,401.0,409.0,387.0,388.5,1258964
2024-04-19,388.0,388.0,377.0,377.85,1590630
2024-04-22,382.95,388.45,375.8,377.7,922319
2024-04-23,384.5,384.5,375.55,382.7,1509139
2024-04-24,385.05,391.35,380.6,382.65,1241887
2024-04-25,382.5,384.25,378.0,379.05,794300
2024-04-26,380.6,382.0,375.8,376.9,1165552
2024-04-29,379.25,384.0,374.0,377.75,1080192
2024-04-30,377.8,379.5,371.0,372.4,1183679
2024-05-02,372.55,386.0,366.55,372.2,2043727
2024-05-03,373.0,375.5,368.05,369.9,983852
2024-05-06,351.4,365.0,351.4,351.4,4669633
2024-05-07,351.35,351.35,333.85,333.85,5412856
2024-05-08,331.0,332.0,317.15,317.15,7390132
2024-05-09,313.65,333.0,310.0,333.0,9033327
2024-05-10,339.0,349.65,335.1,349.65,5692885
2024-05-13,358.05,359.6,335.05,343.5,2666342
2024-05-14,342.7,343.8,333.05,340.05,1471994
2024-05-15,340.15,347.8,331.65,343.25,2003944
2024-05-16,344.5,350.0,339.0,342.55,1136979
2024-05-17,342.55,347.0,339.3,342.25,1159700
2024-05-18,341.25,349.0,341.25,344.4,147686
2024-05-21,348.0,361.6,341.45,351.7,3172650
2024-05-22,356.0,369.25,344.5,368.85,5231893
2024-05-23,368.0,368.0,353.5,356.25,2589388
2024-05-24,354.0,354.7,339.05,340.95,4362341
2024-05-27,342.0,357.95,341.9,356.7,4685308
2024-05-28,357.95,363.9,341.5,342.35,2420896
2024-05-29,359.45,359.45,359.45,359.45,1458423
2024-05-30,377.4,377.4,377.4,377.4,1656287
2024-05-31,384.95,396.25,358.55,360.75,44068826
2024-06-03,378.75,378.75,370.0,376.2,7685575
2024-06-04,373.0,373.0,357.4,357.4,3491325
2024-06-05,351.25,354.65,339.55,339.85,7404922
2024-06-06,345.0,350.0,341.0,346.65,3037856
2024-06-07,349.0,381.3,347.2,381.3,8096613
2024-06-10,382.0,414.0,381.5,389.05,7714614
2024-06-11,390.55,393.85,378.05,380.55,2837645
2024-06-12,382.1,416.75,377.0,402.5,10281686
2024-06-13,407.0,439.0,405.55,428.05,16454024
2024-06-14,436.05,440.5,422.15,425.05,5490425
2024-06-18,442.0,442.0,411.0,417.0,12825770
2024-06-19,420.0,422.0,403.5,410.25,4054335
2024-06-20,414.0,419.8,410.25,411.5,1905808
2024-06-21,411.5,414.7,402.5,411.15,2535336
2024-06-24,409.7,417.1,406.05,410.7,2290263
2024-06-25,415.0,424.4,409.25,412.8,3221883
2024-06-26,413.0,414.7,406.55,409.35,1504820
2024-06-27,408.0,411.0,400.1,404.3,2060528
2024-06-28,405.0,411.5,400.05,401.75,2162358
2024-07-01,403.0,423.7,403.0,411.85,4061370
2024-07-02,412.05,423.25,409.05,421.05,4087675
2024-07-03,424.0,425.0,414.5,417.55,3892175
2024-07-04,418.1,430.0,411.0,412.45,5411756
2024-07-05,416.55,442.5,412.75,436.55,6630370
2024-07-08,440.2,479.9,440.2,472.35,12698807
2024-07-09,476.0,476.0,448.8,461.65,6693084
2024-07-10,464.75,474.7,454.1,467.15,6211525
2024-07-11,468.05,491.8,468.05,480.25,5700801
2024-07-12,480.0,482.8,461.0,465.95,2441250
2024-07-15,467.0,476.7,462.05,469.65,3318491
2024-07-16,466.0,471.4,454.75,460.3,2530705
2024-07-18,459.0,464.75,442.8,445.3,2699225
2024-07-19,443.0,471.95,425.6,458.75,11709927
2024-07-22,447.95,462.3,443.5,452.45,3225265
2024-07-23,454.65,464.7,437.25,457.25,3009397
2024-07-24,453.0,467.8,447.2,456.3,1818969
2024-07-25,450.0,464.3,448.55,462.8,1919454
2024-07-26,459.0,509.05,459.0,509.05,10481268
2024-07-29,512.75,518.3,490.0,494.05,8506569
2024-07-30,501.0,512.7,494.4,496.9,6991041
2024-07-31,494.0,507.45,493.0,494.25,2553435
2024-08-01,498.55,520.0,492.1,496.85,5509816
2024-08-02,494.85,542.6,492.3,527.0,13602639
2024-08-05,513.85,516.4,481.65,499.4,9396049
2024-08-06,504.0,522.0,482.1,488.1,5688494
2024-08-07,500.0,511.0,493.4,505.85,3479206
2024-08-08,508.0,535.0,501.75,508.5,10467494
2024-08-09,520.05,522.3,509.0,510.85,4096869
2024-08-12,507.55,527.0,499.45,514.6,5613698
2024-08-13,515.15,524.75,503.75,506.15,4545613
2024-08-14,508.1,546.8,505.5,538.8,12889333
2024-08-16,544.0,569.9,536.45,564.25,13134779
2024-08-19,565.0,594.4,564.7,572.8,12268435
2024-08-20,575.0,584.0,568.05,572.85,6100028
2024-08-21,574.95,582.8,570.1,574.05,4699120
2024-08-22,584.0,604.7,538.35,553.7,21141552
2024-08-23,555.0,571.3,551.1,554.85,7634408
2024-08-26,559.8,565.45,505.55,530.4,18465394
2024-08-27,540.9,553.7,535.7,545.15,6561483
2024-08-28,549.0,559.95,534.55,538.0,6063546
2024-08-29,559.0,564.8,540.1,554.5,9175132
2024-08-30,558.0,631.45,543.0,621.9,41866652
2024-09-02,619.0,634.0,587.3,607.85,20043277
2024-09-03,608.0,614.8,594.0,595.6,8664136
2024-09-04,585.6,620.95,583.6,613.9,12441628
2024-09-05,619.0,633.7,610.6,626.55,10080314
2024-09-06,620.0,632.0,596.5,603.8,10538113
2024-09-09,605.5,640.0,584.1,627.65,14987916
2024-09-10,636.9,687.4,633.5,653.4,35594437
2024-09-11,656.5,683.3,651.0,666.5,22353276
2024-09-12,673.85,683.9,655.5,666.0,17250725
2024-09-13,668.0,676.0,650.1,654.95,7126659
2024-09-16,659.0,687.8,658.8,682.15,11074321
2024-09-17,681.7,683.4,657.3,664.4,5778257
2024-09-18,665.7,703.25,665.0,671.45,13742268
2024-09-19,677.1,683.8,628.5,655.05,10044737
2024-09-20,659.75,670.05,651.45,664.1,5300046
2024-09-23,665.0,676.4,648.0,651.55,3839695
2024-09-24,656.0,688.35,651.15,680.95,11991325
2024-09-25,680.95,695.0,676.8,687.45,7621107
2024-09-26,690.0,724.8,678.25,705.15,20458620
2024-09-27,708.0,708.85,667.0,672.3,8458867
2024-09-30,672.0,695.45,655.05,688.3,11543854
2024-10-01,688.4,742.0,681.7,731.35,21039195
2024-10-03,703.0,755.9,700.0,727.55,19233620
2024-10-04,726.0,732.5,691.0,695.15,13080404
2024-10-07,701.65,713.35,637.1,651.85,14215795
2024-10-08,657.25,772.85,657.25,750.6,35378353
2024-10-09,751.0,766.4,725.85,741.25,23836638
2024-10-10,744.75,755.95,727.0,732.0,12019164
2024-10-11,732.5,753.0,721.0,724.5,11361887
2024-10-14,729.6,736.35,712.0,717.65,8101148
2024-10-15,721.4,742.7,712.65,729.75,9165059
2024-10-16,729.0,734.65,716.0,721.95,4586084
2024-10-17,726.05,729.0,691.0,696.15,5610775
2024-10-18,690.15,729.9,670.4,725.15,10913448
2024-10-21,725.0,745.5,706.2,725.95,10401315
2024-10-22,727.0,728.8,669.8,686.45,21530805
2024-10-23,720.0,771.7,700.6,745.1,43691234
2024-10-24,750.0,790.0,739.35,764.45,26111216
2024-10-25,765.0,768.0,714.0,744.45,18746220
2024-10-28,747.7,758.8,726.1,733.2,8629246
2024-10-29,734.0,748.25,724.65,744.45,5927753
2024-10-30,746.0,765.6,737.05,752.1,5797322
2024-10-31,749.45,778.5,748.0,758.9,9492066
2024-11-01,765.0,773.0,756.0,761.85,1376476
2024-11-04,761.85,769.95,747.0,751.2,4920251
2024-11-05,751.0,776.7,747.05,764.45,6970675
2024-11-06,765.0,804.0,762.8,797.7,10187282
2024-11-07,799.9,813.35,790.25,795.85,7417765
2024-11-08,796.0,855.1,788.8,848.55,22266898
2024-11-11,848.0,853.85,813.2,820.15,7301548
2024-11-12,828.0,839.85,785.35,789.7,5713703
2024-11-13,791.0,794.05,750.0,753.25,7588676
2024-11-14,766.0,797.55,763.05,769.1,10003402
2024-11-18,771.0,788.0,758.0,783.9,7590159
2024-11-19,787.0,834.0,787.0,814.25,12025683
2024-11-21,823.7,853.0,808.55,845.4,14018817
2024-11-22,846.0,909.75,843.05,900.95,24483483
2024-11-25,913.8,939.0,881.05,892.95,16086434
2024-11-26,896.0,911.15,879.4,886.6,9123404
2024-11-27,891.25,925.0,886.85,918.95,9576584
2024-11-28,924.0,950.0,912.75,926.65,14159368
2024-11-29,930.7,952.0,895.2,901.75,9897640
2024-12-02,903.0,911.85,882.2,895.95,6402867
2024-12-03,899.7,910.0,890.7,902.6,4660020
2024-12-04,906.0,942.0,902.6,939.85,9325615
2024-12-05,944.0,971.0,937.5,955.85,10074052
2024-12-06,959.6,991.25,942.0,976.25,11224773
2024-12-09,997.45,1007.0,968.05,971.95,10303658
2024-12-10,974.0,986.35,958.1,967.0,6086764
2024-12-11,971.4,973.2,952.0,955.6,3921575
2024-12-12,956.5,968.0,943.5,955.6,4257312
2024-12-13,949.95,989.3,934.2,984.25,7573762
2024-12-16,987.0,1013.05,977.05,1007.05,8595275
2024-12-17,1005.0,1062.95,999.05,1014.65,16447810
2024-12-18,1018.0,1029.0,1000.0,1009.05,7187163
2024-12-19,990.0,1016.0,976.55,996.1,6838630
2024-12-20,999.9,1006.2,940.05,945.25,8211160
2024-12-23,959.8,978.8,944.45,966.1,5877303
2024-12-24,968.1,996.95,953.0,982.55,7775106
2024-12-26,981.0,1009.8,974.25,1002.35,5559568
2024-12-27,1005.95,1025.0,986.25,1014.25,6583937
2024-12-30,1017.0,1026.0,1005.3,1020.9,6591036
2024-12-31,1015.0,1030.95,1007.1,1017.85,4349328
2025-01-01,1009.0,1009.0,976.3,987.6,6329723
2025-01-02,989.0,994.0,965.5,982.4,4699842
2025-01-03,983.6,1007.55,977.0,982.8,5220103
2025-01-06,985.0,1000.0,964.25,969.05,5145682
2025-01-07,972.0,995.85,972.0,983.2,2776232
2025-01-08,986.0,987.25,895.15,902.05,13442675
2025-01-09,900.0,911.7,890.1,894.65,5265657
2025-01-10,891.0,893.9,836.3,847.7,12081084
2025-01-13,828.0,831.7,785.15,789.7,11744306
2025-01-14,793.05,832.85,792.0,817.9,7565857
2025-01-15,822.5,871.4,801.8,859.05,11282308
2025-01-16,879.0,926.7,875.0,895.0,9116076
2025-01-17,896.0,905.0,881.7,900.15,4570257
2025-01-20,901.0,920.0,872.3,898.6,9414541
2025-01-21,901.0,911.45,825.45,854.3,13656853
2025-01-22,850.0,857.8,816.7,841.35,7230982
2025-01-23,843.0,864.8,840.0,849.1,3430914
2025-01-24,849.95,855.65,773.05,807.45,14201511
2025-01-27,788.0,789.85,763.2,779.95,6728800
2025-01-28,785.0,787.7,763.3,769.2,5264951
2025-01-29,769.85,814.7,765.25,808.65,4378055
2025-01-30,808.65,814.45,756.5,771.9,7835049
2025-01-31,773.8,792.85,768.95,775.75,4375081
2025-02-01,776.0,786.9,735.05,743.1,3831010
2025-02-03,734.0,783.0,710.7,774.7,9834517
2025-02-04,778.1,790.95,770.0,781.7,3917666
2025-02-05,781.7,812.95,781.0,803.0,4143339
2025-02-06,807.45,814.75,795.0,798.1,3081750
2025-02-07,799.6,823.85,790.2,809.8,4660388
2025-02-10,811.0,815.85,768.1,775.25,3405850
2025-02-11,776.95,779.4,741.3,749.85,4695202
2025-02-12,745.0,754.9,718.35,745.4,5725534
2025-02-13,749.4,773.65,741.6,755.4,3951491
2025-02-14,761.9,769.45,713.1,724.05,5686221
2025-02-17,722.0,751.0,713.55,733.0,4389965
2025-02-18,741.45,741.45,708.3,718.05,4108203
2025-02-19,712.0,749.9,706.0,744.7,4038583
2025-02-20,737.05,764.95,726.0,755.55,3778248
2025-02-21,755.8,779.95,755.0,766.15,5453360
2025-02-24,753.0,763.7,738.0,755.1,3410818
2025-02-25,753.0,773.0,732.85,734.7,3999447
2025-02-27,736.0,749.7,715.05,725.55,4531095
2025-02-28,715.0,730.5,698.3,714.95,8952676
2025-03-03,700.0,734.8,683.55,726.45,6090639
2025-03-04,704.0,727.8,690.0,698.5,6551953
2025-03-05,687.0,715.8,687.0,708.9,6721912
2025-03-06,715.0,722.7,695.8,706.35,5897140
2025-03-07,710.0,713.7,680.25,684.85,5008551
2025-03-10,687.0,694.95,661.1,665.25,4838597
2025-03-11,660.1,718.95,651.5,713.35,13910967
2025-03-12,719.0,720.3,681.1,702.0,5418157
2025-03-13,704.0,706.8,680.0,682.85,3383930
2025-03-17,685.0,699.0,682.1,688.9,3095753
2025-03-18,697.0,746.65,695.0,741.4,11702283
2025-03-19,745.7,772.0,734.05,763.1,5756170
2025-03-20,762.0,762.0,718.2,734.4,9256199
2025-03-21,736.9,756.85,727.3,751.05,6003737
2025-03-24,757.45,780.9,743.45,765.4,6928475
2025-03-25,774.0,790.8,761.3,777.4,8424176
2025-03-26,773.5,796.0,772.8,776.9,6269677
2025-03-27,771.0,813.95,771.0,810.1,7275497
2025-03-28,812.85,816.65,779.15,783.45,6502695
2025-04-01,780.0,806.0,772.0,801.1,4796902
2025-04-02,803.55,822.7,791.0,817.95,4965666
2025-04-03,810.0,839.75,802.65,836.4,7073845
2025-04-04,832.2,843.0,801.1,817.05,8949892
2025-04-07,765.0,803.6,753.1,790.55,7646694
2025-04-08,800.0,824.0,795.25,815.15,4682705
2025-04-09,815.0,819.85,789.0,811.2,6171792
2025-04-11,825.4,846.95,821.3,840.7,5238515
2025-04-15,840.7,848.5,827.5,840.15,7073838
2025-04-16,841.85,880.0,837.55,864.95,8281434
2025-04-17,864.4,871.65,845.8,849.6,4012959
2025-04-21,853.3,889.9,852.0,878.15,5538404
2025-04-22,882.05,902.4,878.6,881.9,4115316
2025-04-23,882.5,888.5,867.85,884.1,3869334
2025-04-24,884.1,911.0,880.35,905.75,4992124
2025-04-25,906.5,912.75,867.65,875.65,4434636
2025-04-28,877.05,893.0,877.0,881.75,2976889
2025-04-29,880.0,888.55,860.6,870.7,3725479
2025-04-30,872.0,886.95,859.3,864.75,3257846
2025-05-02,866.0,879.0,828.4,833.05,6547502
2025-05-05,839.0,870.5,837.2,866.0,3414543
2025-05-06,869.0,869.6,810.1,816.5,5689568
